precio_excedente_USD_kWh,gen_elegida_GWh,pct_potencial_elegido,beneficio_libre_USD,beneficio_despliegue_total_USD
0.07,66.96325505930508,32.16036596397282,244589.39053257648,-6588230.893162025
0.08,66.96325505930508,32.16036596397282,714881.978725628,-4705403.782764414
0.09,66.96325505930508,32.16036596397282,1185174.5669186758,-2822576.6723668156
0.09999999999999999,133.2688785603305,64.00489197116636,1756388.0332144788,-939749.5619692085
0.10999999999999999,181.22447685093047,87.03647234582219,3076087.9214900667,943077.5484283986
0.11999999999999998,181.22447685093047,87.03647234582219,4715640.352834367,2852552.2840610044
0.12999999999999998,183.33273017387305,88.04900075936104,6382680.38130392,4780544.860958611
0.13999999999999996,183.33273017387305,88.04900075936104,8061833.187142647,6708537.437856217
0.14999999999999997,183.33273017387305,88.04900075936104,9740985.992981378,8636530.014753822
0.15999999999999998,200.17530612407302,96.13796545880287,11572544.63604356,10585876.090531427
0.16999999999999996,200.17530612407302,96.13796545880287,13450628.199784286,12544373.665829029
0.17999999999999994,200.17530612407302,96.13796545880287,15328711.76352501,14502871.241126634
0.18999999999999995,200.17530612407302,96.13796545880287,17206795.327265747,16461368.81642425
0.19999999999999996,200.17530612407302,96.13796545880287,19084878.891006485,18419866.39172186
0.20999999999999994,200.17530612407302,96.13796545880287,20962962.454747207,20378363.96701946
0.21999999999999992,200.17530612407302,96.13796545880287,22841046.018487934,22336861.54231707
0.22999999999999993,200.17530612407302,96.13796545880287,24719129.582228664,24295359.11761468
0.23999999999999994,200.17530612407302,96.13796545880287,26597213.1459694,26253856.69291228
0.24999999999999992,200.17530612407302,96.13796545880287,28475296.70971013,28212354.268209875
