Escenario,Planta,Excedente_kWh_ano,Viviendas_rurales_beneficiadas,Personas_rurales_beneficiadas,Pct_cobertura_rural_departamental,Supera_100pct_cobertura,Pct_cobertura_rural_departamental_techo
Escenario_1_Termico,Planta A,35259873.922191516,101841.68733249216,376814.24313022103,116.36922086531854,True,100.0
Escenario_1_Termico,Planta B,48741259.36847418,140780.19983139887,520886.73937617586,160.8622421401788,True,100.0
Escenario_1_Termico,Planta C,40565848.00614218,117167.02158764155,433517.97987427376,133.88068648891806,True,100.0
Escenario_1_Termico,Planta D,32416302.861229923,93628.55317502964,346425.64674760966,106.98449789184792,True,100.0
Escenario_1_Termico,Planta E,22067876.771907397,63739.019919810155,235834.37370329758,72.8312764749419,False,72.8312764749419
Escenario_1_Termico,Planta F,9755899.476741824,28178.128666882425,104259.07606746498,32.19768804205223,False,32.19768804205223
Escenario_2_Biogas,Planta A,23802082.93762759,68747.95677786852,254367.44007811352,78.55472916708776,False,78.55472916708776
Escenario_2_Biogas,Planta B,31838493.446979217,91959.65651834433,340250.72911787406,105.07753612864428,True,100.0
Escenario_2_Biogas,Planta C,26874654.42145993,77622.51671117119,287203.31183133344,88.69522911372914,False,88.69522911372914
Escenario_2_Biogas,Planta D,18664644.158172235,53909.40587942579,199464.80175387542,61.59948567053542,False,61.59948567053542
Escenario_2_Biogas,Planta E,14001936.069440247,40442.02762551593,149635.50221440897,46.21101013016584,False,46.21101013016584
Escenario_2_Biogas,Planta F,6099326.67427875,17616.787895253434,65182.11521243771,20.129791004220294,False,20.129791004220294
