Planta,LB - % autogenerado (biomasa+biogás),Escenario 1 - Excedente (kW),Escenario 2 - Excedente (kW)
Planta A,79.12791279127914,6906.929269773069,4510.527791253005
Planta B,0.0,9455.142457511965,6706.756382236513
Planta C,0.0,6852.3391902267185,4790.997898892555
Planta D,69.99999999999999,5898.162820456681,4190.431519655675
Planta E,0.0,7012.353597682681,4836.818628096805
Planta F,0.0,5052.252447820727,3379.6038487138007
