punto,planta,horas,cap_turbina_kW,cap_biogas_kW,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
4,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
4,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
5,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
5,Planta B,5155,1500.0,7000.0,37523390.0488125,3261052.999999995,34262337.0488125,3261053.0,31001284.048812497
5,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
5,Planta D,5496,750.0,5000.0,24245605.046288908,2622443.776535662,21623161.269753255,2622443.776535662,19000717.493217595
5,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
5,Planta F,1931,750.0,4000.0,6794245.920703899,626491.2587633613,6167754.661940546,626491.2587633613,5541263.403177185
6,Planta A,5105,750.0,5000.0,24452722.910624713,3835335.4499999997,20617387.460624713,3835335.4499999997,16782052.010624714
6,Planta B,5155,1500.0,7000.0,37523390.0488125,3261052.999999995,34262337.0488125,3261053.0,31001284.048812497
6,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
6,Planta D,5496,1000.0,5000.0,25343153.498288907,2622443.7765356563,22720709.72175326,2622443.776535662,20098265.945217595
6,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
6,Planta F,1931,750.0,4000.0,6794245.920703899,626491.2587633613,6167754.661940546,626491.2587633613,5541263.403177185
7,Planta A,5105,1250.0,5000.0,26491654.80562471,3835335.4499999997,22656319.355624717,3835335.4499999997,18820983.905624717
7,Planta B,5155,1500.0,7000.0,37523390.0488125,3261052.999999995,34262337.0488125,3261053.0,31001284.048812497
7,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
7,Planta D,5496,1000.0,4000.0,25119071.07158149,2622443.776535662,22496627.295045827,2622443.776535662,19874183.518510163
7,Planta E,3147,750.0,5000.0,16722011.621351108,2623786.074,14098225.547351107,2623786.074,11474439.473351106
7,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
8,Planta A,5105,1250.0,5000.0,26491654.80562471,3835335.4499999997,22656319.355624717,3835335.4499999997,18820983.905624717
8,Planta B,5155,1500.0,7000.0,37523390.0488125,3261052.999999995,34262337.0488125,3261053.0,31001284.048812497
8,Planta C,5920,1250.0,5000.0,32186257.961443905,3823550.4,28362707.56144389,3823550.4,24539157.161443893
8,Planta D,5496,1000.0,4000.0,25119071.07158149,2622443.776535662,22496627.295045827,2622443.776535662,19874183.518510163
8,Planta E,3147,1000.0,5000.0,17350465.947851107,2623786.074,14726679.873851106,2623786.074,12102893.799851106
8,Planta F,1931,750.0,3000.0,6619122.0304617705,626491.2587633613,5992630.77169841,626491.2587633613,5366139.512935048
