Parametro,Unidad,Etapa,Planta,Valor
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta D,2606.0
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta D,9589.0
Aceite crudo en LP,%,Digestión y prensado,Planta D,50.0
Agua en LP,%,Digestión y prensado,Planta D,15.0
Residuos orgánicos en LP,%,Digestión y prensado,Planta D,35.0
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta D,15829.0
Humedad de mesocarpio,%,Digestión y prensado,Planta D,35.3
Nueces,tNuez∙año-1,Digestión y prensado,Planta D,13095.0
Humedad de nueces,%,Digestión y prensado,Planta D,12.29
Agua de dilución,kgagua∙h-1,Clarificación,Planta D,3425.0
Temperatura LP,°C,Clarificación,Planta D,80.0
Temperatura aceite clarificado,°C,Clarificación,Planta D,72.0
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta D,4125.0
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta D,683.0
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta D,11495.0
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta D,3180.0
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta D,651.0
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta D,14024.0
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta D,1127.0
Temperatura despacho,°C,Almacenamiento,Planta D,52.0
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta D,1220.0
Temperatura aire de secado,°C,Secado de nueces,Planta D,50.0
Humedad de secado,%,Secado de nueces,Planta D,7.1
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta D,7519.0
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta D,5576.0
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta D,36935.0
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta D,90.0
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta D,4220.9
Fibra en caldera,%,Caldera,Planta D,86.0
Cuesco en caldera,%,Caldera,Planta D,55.0
Flujo de vapor,kgvapor∙h-1,Caldera,Planta D,55402.0
Presión de vapor,bar,Caldera,Planta D,1.5
Temperatura de vapor,°C,Caldera,Planta D,160.0
Temperatura agua de alimentación,°C,Caldera,Planta D,95.0
Capacidad de procesamiento,tRFF∙h-1,General,Planta E,24.0
Fruto procesado ,tRFF∙año-1,General,Planta E,75534.0
Horas de operación,h∙año-1,General,Planta E,3147.0
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta E,20.77
Aceite crudo producido,tACP∙año-1,General,Planta E,15688.0
PKO producido,tPKO∙año-1,General,Planta E,2803.0
Humedad PKO,%,General,Planta E,6.74
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta E,5153.0
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta E,214.70833333333334
Deshidratación del fruto ,%,Esterilización,Planta E,12.32
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta E,3317.0
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta E,138.20833333333334
Vapor evaporador, ,Esterilización,Planta E,3675.42
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta E,153.1425
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta E,24.34
Humedad raquis,%,Desfrutado,Planta E,59.7
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta E,63.34
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta E,2113.0
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta E,9513.0
Aceite crudo en LP,%,Digestión y prensado,Planta E,54.0
Agua en LP,%,Digestión y prensado,Planta E,17.0
Residuos orgánicos en LP,%,Digestión y prensado,Planta E,29.0
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta E,9444.0
Humedad de mesocarpio,%,Digestión y prensado,Planta E,36.6
Nueces,tNuez∙año-1,Digestión y prensado,Planta E,6247.0
Humedad de nueces,%,Digestión y prensado,Planta E,14.33
Agua de dilución,kgagua∙h-1,Clarificación,Planta E,3668.0
Temperatura LP,°C,Clarificación,Planta E,80.0
Temperatura aceite clarificado,°C,Clarificación,Planta E,71.0
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta E,4450.0
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta E,513.0
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta E,10843.0
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta E,3004.0
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta E,535.0
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta E,13313.0
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta E,1100.0
Temperatura despacho,°C,Almacenamiento,Planta E,50.0
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta E,1286.0
Temperatura aire de secado,°C,Secado de nueces,Planta E,55.0
Humedad de secado,%,Secado de nueces,Planta E,7.8
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta E,3444.0
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta E,2803.0
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta E,25855.0
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta E,90.0
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta E,2852.3
Fibra en caldera,%,Caldera,Planta E,75.0
Cuesco en caldera,%,Caldera,Planta E,84.0
Flujo de vapor,kgvapor∙h-1,Caldera,Planta E,85420.0
Presión de vapor,bar,Caldera,Planta E,1.0
Temperatura de vapor,°C,Caldera,Planta E,160.0
Temperatura agua de alimentación,°C,Caldera,Planta E,90.0
Capacidad de procesamiento,tRFF∙h-1,General,Planta F,20.0
Fruto procesado ,tRFF∙año-1,General,Planta F,38620.0
Horas de operación,h∙año-1,General,Planta F,1931.0
Tasa de extracción aceite,% ACP∙tRFF-1,General,Planta F,19.3
Aceite crudo producido,tACP∙año-1,General,Planta F,7454.0
PKO producido,tPKO∙año-1,General,Planta F,2177.0
Humedad PKO,%,General,Planta F,4.04
Vapor de esterilización,kgvapor∙h-1,Esterilización,Planta F,4060.0
Vapor de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta F,203.0
Deshidratación del fruto ,%,Esterilización,Planta F,12.13
Condensados de esterilización,kg∙tRFF∙h-1,Esterilización,Planta F,2844.0
Condensados de esterilización (específico por tRFF),por tRFF procesado,Esterilización,Planta F,142.2
Vapor evaporador, ,Esterilización,Planta F,3059.9
Vapor evaporador (específico por tRFF),por tRFF procesado,Esterilización,Planta F,152.995
Raquis vacío ,kg∙tRFF∙h-1,Desfrutado,Planta F,21.35
Humedad raquis,%,Desfrutado,Planta F,62.8
Masa que pasa por digestor,MPD∙tRFF∙h-1,Desfrutado,Planta F,66.52
Vapor de digestión,kgvapor∙h-1,Digestión y prensado,Planta F,1806.0
Licor de prensa,kgLP∙h-1,Digestión y prensado,Planta F,7885.0
Aceite crudo en LP,%,Digestión y prensado,Planta F,53.0
Agua en LP,%,Digestión y prensado,Planta F,16.0
Residuos orgánicos en LP,%,Digestión y prensado,Planta F,31.0
Fibra de mesocarpio,tFibra∙año-1,Digestión y prensado,Planta F,4831.0
Humedad de mesocarpio,%,Digestión y prensado,Planta F,36.8
Nueces,tNuez∙año-1,Digestión y prensado,Planta F,4880.0
Humedad de nueces,%,Digestión y prensado,Planta F,16.47
Agua de dilución,kgagua∙h-1,Clarificación,Planta F,2985.0
Temperatura LP,°C,Clarificación,Planta F,80.0
Temperatura aceite clarificado,°C,Clarificación,Planta F,70.0
Aceite clarificado,kgaceite∙h-1,Clarificación,Planta F,3405.0
Vapor de clarificacion,kgvapor∙h-1,Clarificación,Planta F,408.0
Lodos de clarificación,kgLodos∙h-1,Clarificación,Planta F,9271.0
Agua de recuperación,kgagua∙h-1,Recuperación de aceite,Planta F,2605.0
Aceite recuperado,kgaceite∙h-1,Recuperación de aceite,Planta F,455.0
Efluente,kgefluente∙h-1,Recuperación de aceite,Planta F,11422.0
Vapor de almacenamiento,kgvapor∙h-1,Almacenamiento,Planta F,932.0
Temperatura despacho,°C,Almacenamiento,Planta F,55.0
Vapor de secado,kgvapor∙h-1,Secado de nueces,Planta F,992.0
Temperatura aire de secado,°C,Secado de nueces,Planta F,60.0
Humedad de secado,%,Secado de nueces,Planta F,7.4
Cuesco,tCuesco∙año-1,Rotura de nuez,Planta F,2703.0
Almendra,tAlmendra∙año-1,Rotura de nuez,Planta F,2177.0
Agua de proceso,kgagua∙año-1,Calentamiento agua proceso,Planta F,15108.0
Temperatura de calentamiento,°C,Calentamiento agua proceso,Planta F,90.0
Vapor de calentamiento,kgvapor∙año-1,Calentamiento agua proceso,Planta F,1283.0
Fibra en caldera,%,Caldera,Planta F,54.0
Cuesco en caldera,%,Caldera,Planta F,80.0
Flujo de vapor,kgvapor∙h-1,Caldera,Planta F,78541.0
Presión de vapor,bar,Caldera,Planta F,1.0
Temperatura de vapor,°C,Caldera,Planta F,160.0
Temperatura agua de alimentación,°C,Caldera,Planta F,95.0
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta A,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta B,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta C,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta D,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta E,
Flujo de aire de secado,kgaire seco∙h-1,Secado de nueces,Planta F,
