precio_excedente_USD_kWh,gen_elegida_GWh,pct_potencial_elegido,beneficio_libre_USD,beneficio_despliegue_total_USD
0.07,147.47690348074906,91.24947026046387,7674483.093285382,6763402.95367871
0.08,147.47690348074906,91.24947026046387,8813398.92890689,8043744.380716737
0.09,147.47690348074906,91.24947026046387,9952314.764528401,9324085.807754762
0.09999999999999999,147.47690348074906,91.24947026046387,11091230.60014991,10604427.234792788
0.10999999999999999,155.5604659053894,96.25107235310686,12261622.559632566,11884768.661830815
0.11999999999999998,158.1129659053894,97.83039947038822,13547818.980866108,13210367.047178838
0.12999999999999998,158.1129659053894,97.83039947038822,14869802.149734024,14567415.183216866
0.13999999999999996,158.1129659053894,97.83039947038822,16191785.318601936,15924463.319254886
0.14999999999999997,158.1129659053894,97.83039947038822,17513768.487469852,17281511.45529292
0.15999999999999998,158.8997159053894,98.31719109018103,18874042.251713604,18675273.80420244
0.16999999999999996,158.8997159053894,98.31719109018103,20256341.796112232,20084770.815771174
0.17999999999999994,158.8997159053894,98.31719109018103,21638641.340510853,21494267.827339914
0.18999999999999995,159.13736640648,98.46423433437609,23021270.852439154,22903764.838908654
0.19999999999999996,159.67869679396475,98.79917567046348,24408968.01865283,24313261.8504774
0.20999999999999994,160.14179887824872,99.08571423257091,25799931.410149004,25722758.862046134
0.21999999999999992,160.14179887824872,99.08571423257091,27194651.784276213,27132255.873614874
0.22999999999999993,160.5311239662143,99.32660421057756,28591226.803704612,28541752.885183614
0.23999999999999994,160.5311239662143,99.32660421057756,29989840.428711504,29951249.896752354
0.24999999999999992,161.16535084957644,99.71902407949145,31391238.330413043,31360746.908321086
