Planta,Escenario 1 (kW),Escenario 2 (kW),Esc.2 / Esc.1 (%)
Planta A,6906.929269773069,4404.094848107443,63.76342765490839
Planta B,9455.142457511965,5872.586161719687,62.1099701893334
Planta C,6852.3391902267185,4302.518932761969,62.78905368401085
Planta D,5898.162820456681,3189.643602798949,54.07859531676988
Planta E,7012.353597682681,4223.438772859003,60.22854829018735
Planta F,5052.252447820727,2969.2735964241765,58.77128324624719
