precio_excedente_USD_kWh,gen_elegida_GWh,pct_potencial_elegido,beneficio_libre_USD,beneficio_despliegue_total_USD
0.07,66.96325505930508,32.16036596397282,2975016.42901514,-958988.8276436226
0.08,133.2688785603305,64.00489197116636,3439673.689849768,734985.3076925119
0.09,181.22447685093047,87.03647234582219,4545278.940319528,2428959.443028643
0.09999999999999999,181.22447685093047,87.03647234582219,5969330.771367361,4122933.578364781
0.10999999999999999,183.33273017387305,88.04900075936104,7403250.061203911,5816907.713700908
0.11999999999999998,183.33273017387305,88.04900075936104,8900017.2921594,7562514.71571527
0.12999999999999998,183.33273017387305,88.04900075936104,10432664.989789601,9344002.184404355
0.13999999999999996,200.17530612407302,96.13796545880287,12125959.500714418,11125489.653093416
0.14999999999999997,200.17530612407302,96.13796545880287,13827032.957846623,12906977.121782493
0.15999999999999998,200.17530612407302,96.13796545880287,15570350.850860469,14730709.026353214
0.16999999999999996,200.17530612407302,96.13796545880287,17331773.50210932,16572545.689158935
0.17999999999999994,200.17530612407302,96.13796545880287,19093196.15335816,18414382.351964664
0.18999999999999995,200.17530612407302,96.13796545880287,20854618.80460701,20256219.014770385
0.19999999999999996,200.17530612407302,96.13796545880287,22616041.45585586,22098055.67757612
0.20999999999999994,200.17530612407302,96.13796545880287,24377464.107104704,23939892.340381835
0.21999999999999992,200.17530612407302,96.13796545880287,26138886.758353557,25781729.003187556
0.22999999999999993,200.17530612407302,96.13796545880287,27900309.409602385,27623565.665993277
0.23999999999999994,207.3316788605712,99.57494841276096,29692219.92639199,29465402.328799006
0.24999999999999992,207.3316788605712,99.57494841276096,31525206.30500582,31307238.99160473
