escenario,gen_optimo_GWh,pct_optimo,beneficio_optimo_USD,gen_total_GWh,beneficio_total_USD,costo_oportunidad_USD,pct_del_optimo,delta_GWh,delta_tCO2,tCO2_totales_100pct,costo_implicito_USD_tCO2
ESCENARIO 1,66.96342498984072,32.16044757631693,258703.3167468952,208.2167072797607,-6531747.6289628055,6790450.945709701,2624.802430481864,141.25328228991998,23080.786326172914,30765.392491493516,294.2036224307287
ESCENARIO 2,136.16546091849634,92.2948952133176,3427931.6589556504,147.5330359320333,2315671.673615562,1112259.9853400886,32.446970826686446,11.367575013536964,1857.4617572119423,21362.97743394478,598.8063985821142
