punto,planta,horas,cap_turbina_kW,cap_biogas_kW,factor_utilizacion,factor_util_biogas,generacion_kWh,autoconsumo_kWh,excedente_kWh,excedente_permuta_kWh,excedente_bolsa_kWh
8,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847421,0.0,48539183.36847421
8,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
8,Planta D,5496,5000.0,3000.0,0.968563738583018,1.0,34721309.29877567,3050517.053155117,31670792.24562058,0.0,31670792.24562058
8,Planta E,3147,300.0,3000.0,0.0424409149000017,1.0,7989088.815628201,2841009.0448235297,5148079.770804658,0.0,5148079.770804658
8,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
9,Planta A,5105,8000.0,2000.0,1.0,1.0,39635540.58983856,4516564.66764706,35118975.92219152,0.0,35118975.92219152
9,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847421,0.0,48539183.36847421
9,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
9,Planta D,5496,5000.0,3000.0,0.968563738583018,1.0,34721309.29877567,3050517.053155117,31670792.24562058,0.0,31670792.24562058
9,Planta E,3147,5000.0,3000.0,0.707348581666695,1.0,19804030.1538282,2841009.0448235297,16963021.109004658,0.0,16963021.109004658
9,Planta F,1931,300.0,2000.0,0.0607345597598381,1.0,3350137.3773672,777626.0101138948,2572511.3672533035,0.0,2572511.3672533035
10,Planta A,5105,8000.0,2000.0,1.0,1.0,39635540.58983856,4516564.66764706,35118975.92219152,0.0,35118975.92219152
10,Planta B,5155,9000.0,4000.0,1.0,1.0,52696236.01553299,4157052.6470588217,48539183.36847415,0.0,48539183.36847415
10,Planta C,5920,7000.0,3000.0,1.0,1.0,44940418.076730415,4591242.070588239,40349176.006142184,0.0,40349176.006142184
10,Planta D,5496,6000.0,3000.0,1.0,1.0,35433762.567062445,3050517.053155117,32383245.513907317,0.0,32383245.513907317
10,Planta E,3147,8000.0,3000.0,1.0,1.0,25004239.91673092,2841009.0448235297,22163230.871907394,0.0,22163230.871907394
10,Planta F,1931,5000.0,2000.0,1.0,1.0,10506510.113865364,777626.0101138948,9728884.103751473,0.0,9728884.103751473
