Planta,Eficiencia_termica_pct,h_f_kJkg,h_i_kJkg
Planta A,75.85185381948808,2901.7234090172974,398.03027466790303
Planta B,57.85051339345435,2791.347174812875,385.4037033438636
Planta C,67.51108953500324,2786.8740357892443,334.9905444608384
Planta D,54.25244058020326,2783.645373112495,355.97914771247594
Planta E,55.896268868474245,2792.1185025799837,376.9915147078335
Planta F,67.22603802639998,2778.305957410784,334.9905444608384
