Escenario,Planta,Excedente_kWh_ano,Viviendas_rurales_beneficiadas,Personas_rurales_beneficiadas,Pct_cobertura_rural_departamental,Supera_100pct_cobertura,Pct_cobertura_rural_departamental_techo
Escenario_1_Termico,Planta A,35259873.922191516,101841.68733249216,376814.24313022103,116.36922086531854,True,100.0
Escenario_1_Termico,Planta B,48741259.36847418,140780.19983139887,520886.73937617586,160.8622421401788,True,100.0
Escenario_1_Termico,Planta C,40565848.00614218,117167.02158764155,433517.97987427376,133.88068648891806,True,100.0
Escenario_1_Termico,Planta D,32416302.861229923,93628.55317502964,346425.64674760966,106.98449789184792,True,100.0
Escenario_1_Termico,Planta E,22067876.771907397,63739.019919810155,235834.37370329758,72.8312764749419,False,72.8312764749419
Escenario_1_Termico,Planta F,9755899.476741824,28178.128666882425,104259.07606746498,32.19768804205223,False,32.19768804205223
Escenario_2_Biogas,Planta A,23026244.374346588,66507.08919687511,246076.23002843792,75.99420585592934,False,75.99420585592934
Escenario_2_Biogas,Planta B,34573329.15042923,99858.72851250706,369477.2954962762,114.10339653607005,True,100.0
Escenario_2_Biogas,Planta C,28362707.561443925,81920.48564182596,303105.79687475605,93.60629558232318,False,93.60629558232318
Escenario_2_Biogas,Planta D,23030611.632027593,66519.70322074345,246122.9019167508,76.00861924761581,False,76.00861924761581
Escenario_2_Biogas,Planta E,15221468.222620646,43964.42287032569,162668.36462020504,50.23586872152028,False,50.23586872152028
Escenario_2_Biogas,Planta F,6526015.031866349,18849.199060356943,69742.0365233207,21.538003405499502,False,21.538003405499502
